标签名,位置A行号,位置A路径,位置B行号,位置B路径,后代数A,后代数B,重叠度
可穿戴设备,7812,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备,10878,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备,329,329,1.0
开花植物,21599,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物,21603,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物,329,256,0.78
衣服,7936,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服,11002,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服,186,186,1.0
劳动者,2315,V2融合世界标签体系/通用分类标签/人物与人体/劳动者,2492,V2融合世界标签体系/通用分类标签/人物与人体/劳动者,169,169,1.0
水禽,14656,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽,14669,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽,68,53,0.78
信号,19566,V2融合世界标签体系/通用分类标签/文字与信息图形/信号,19626,V2融合世界标签体系/通用分类标签/文字与信息图形/信号,54,54,1.0
住处,17465,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处,17521,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处,50,50,1.0
表演者,3041,V2融合世界标签体系/通用分类标签/人物与人体/表演者,3048,V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者,49,41,0.84
桌子,9773,V2融合世界标签体系/通用分类标签/人造物体/桌子,9778,V2融合世界标签体系/通用分类标签/人造物体/桌子,49,49,1.0
外衣,7992,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣,11058,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣,42,42,1.0
机动车,1077,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车,1084,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/机动车,37,27,0.73
玩具,10169,V2融合世界标签体系/通用分类标签/人造物体/玩具,10207,V2融合世界标签体系/通用分类标签/人造物体/玩具,36,36,1.0
H类住宅,17392,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅,17466,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅,34,34,1.0
外套,7993,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套,11059,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套,29,29,1.0
容器盒,8794,V2融合世界标签体系/通用分类标签/人造物体/容器/容器盒,8796,V2融合世界标签体系/通用分类标签/人造物体/容器/容器盒,29,29,1.0
女装,7851,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装,10917,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装,28,28,1.0
打扮,7894,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮,10960,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮,25,25,1.0
不可言说之物,7947,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物,11013,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物,23,23,1.0
点,32240,V2融合世界标签体系/通用分类标签/知识与学科/点,32243,V2融合世界标签体系/通用分类标签/知识与学科/点,23,23,1.0
航空器,977,V2融合世界标签体系/通用分类标签/交通工具/航空器,982,V2融合世界标签体系/通用分类标签/交通工具/航空器,21,21,1.0
商业机构,18073,V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构,18075,V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/商业机构,21,14,0.67
美国人,2190,V2融合世界标签体系/通用分类标签/人物与人体/住户/美国人,2206,V2融合世界标签体系/通用分类标签/人物与人体/住户/美国人,19,19,1.0
女裙,8049,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/女裙,11115,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/女裙,17,17,1.0
鞋子,8176,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子,11242,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子,17,17,1.0
印刷机,9634,V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机,9635,V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机,16,16,1.0
委任制军官,2363,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/委任制军官,2365,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/委任制军官/委任制军官,15,9,0.6
